row_idx,attack_ratio,seed_used,attack_style_used,seed_window_chars,n_bytes,clean_tokens,attacked_tokens,traced_tokens,extra_token_count_in_traced,tail_match_rate_over_traced,green_flip_rate_uid_cleanfp_vs_attackfp,aligned_tokens,aligned_rate_over_traced,uid_match_rate_aligned,token_id_match_rate_aligned,char_ops,char_replace,char_delete,char_insert,segment_char_len,actual_char_edit_rate
0,0.0,0,none,18,3,161,161,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
1,0.0,1,none,18,3,163,163,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
2,0.0,2,none,18,3,157,157,127,0,1.0,0.0,127,1.0,1.0,1.0,0,0,0,0,0,0.0
3,0.0,3,none,18,3,151,151,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
4,0.0,4,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
5,0.0,5,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
6,0.0,6,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
7,0.0,7,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
8,0.0,8,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
9,0.0,9,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
10,0.0,10,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
11,0.0,11,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
12,0.0,12,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
13,0.0,13,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
14,0.0,14,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
15,0.0,15,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
16,0.0,16,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
17,0.0,17,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
18,0.0,18,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
19,0.0,19,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
20,0.0,20,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
21,0.0,21,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
22,0.0,22,none,18,3,163,163,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
