attack_ratio,attack_style_used,mean_tail_match,mean_green_flip,mean_uid_match,mean_tid_match,mean_aligned_rate,mean_extra_tokens,mean_traced,mean_actual_char_rate,n
0.0,none,1.0,0.0,1.0,0.9998046875,1.0,0.0,127.945,0.0,200
0.01,ascii_replace,0.8103377225489506,0.016384825493745706,0.9659863908869943,0.9531990552990087,0.9354694919831479,8.868421052631579,136.5,0.010107697471261765,38
0.01,homo_replace,0.8101782210390907,0.015587944332538873,0.9698695432168202,0.9543771004318905,0.9316439015820006,9.422222222222222,137.0222222222222,0.010058067771598735,45
0.01,mixed,0.33573060946627326,0.05913657064574559,0.6962145314907946,0.686444291117785,0.4551497908336655,73.57894736842105,134.92105263157896,0.010105646941204713,38
0.01,x_replace,0.806767629561756,0.01742944089020425,0.9686243192601143,0.9540132313520204,0.9291872886578184,9.783783783783784,137.2972972972973,0.0100214756972759,37
0.01,zw_insert,0.1689260336300294,0.08741693271476363,0.4478953232502042,0.4417656888299405,0.312944570067109,96.14285714285714,139.83333333333334,0.009928152574240548,42
0.02,ascii_replace,0.6621599981165137,0.0310528480589945,0.9355847695049148,0.9092428474014277,0.8736496004429889,18.58823529411765,145.94117647058823,0.019950668798243972,34
0.02,homo_replace,0.6504457904068175,0.03480843227946442,0.9317530662527478,0.9107838508544275,0.8715534430613957,18.901960784313726,146.15686274509804,0.01990360510109406,51
0.02,mixed,0.19560718675936736,0.07079743459726362,0.5882467181076887,0.5693840699825055,0.3508512100433835,92.38775510204081,142.10204081632654,0.01997822108650689,49
0.02,x_replace,0.6549141684445291,0.03124036811135736,0.9345249423376194,0.9112282016100883,0.8675425422167942,19.53125,146.9375,0.01995851930331483,32
0.02,zw_insert,0.07015509868401376,0.10683082915187764,0.21318884674917113,0.2080832050390032,0.2505321775919744,113.47058823529412,151.2941176470588,0.01994012056851735,34
0.05,ascii_replace,0.35598972715383737,0.059870693684816415,0.840239686594925,0.7921774400197161,0.7509720298277679,42.21739130434783,168.34782608695653,0.04997912219025026,46
0.05,homo_replace,0.3538032135032379,0.05564449447337792,0.8423815980308411,0.7890506998442028,0.7304276315979896,47.0,173.3095238095238,0.05000306321488454,42
0.05,mixed,0.06593526108751725,0.09236919951221666,0.33049536976348215,0.30416268922026024,0.25770323368332515,121.34615384615384,163.03846153846155,0.049973291395089915,26
0.05,x_replace,0.35390547556446506,0.06251434163112089,0.8440358112190384,0.7951166682473393,0.7346972036239982,46.0,172.2391304347826,0.049893242417566076,46
0.05,zw_insert,0.03489561256729991,0.13040806096357047,0.12445923472413656,0.11865180686537762,0.22813360048663078,141.05,182.45,0.04994840855261949,40
0.1,ascii_replace,0.134191765259705,0.085861901609335,0.6972498597557403,0.6183468096938513,0.6126410007186766,76.41666666666667,196.75,0.09996020306979952,36
0.1,homo_replace,0.12327583437216742,0.08750616332748064,0.7084731719825014,0.6343119804316336,0.60285921492599,78.06976744186046,195.51162790697674,0.09988960622013456,43
0.1,mixed,0.039223644963575534,0.10572323687757645,0.255256238344027,0.22183894969407839,0.2517773932459792,143.5581395348837,191.65116279069767,0.10005551343487801,43
0.1,x_replace,0.1305817124702879,0.09061745125896843,0.7173921912299424,0.6439520665078342,0.6052478205104738,77.725,196.1,0.09998454160243511,40
0.1,zw_insert,0.02013157894736842,0.13276315789473683,0.059939188021536256,0.05384755196569244,0.22749999999999998,154.5,200.0,0.09990210561009998,38
