algo,bucket,atk_style,fpr,threshold,tpr_clean,tpr_attack,n,file,attack_ratio,attack_seed
bytekgw_v6,ppl_0_3,char,0.01,2.7244860432649163,0.5328467153284672,0.45255474452554745,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,char,0.05,1.9376787740906782,0.7372262773722628,0.6788321167883211,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,char,0.1,1.382930966702984,0.8686131386861314,0.8175182481751825,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,char,0.2,1.1523916463544972,0.8905109489051095,0.8540145985401459,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,token,0.01,2.7244860432649163,0.5328467153284672,0.41605839416058393,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,token,0.05,1.9376787740906782,0.7372262773722628,0.6788321167883211,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,token,0.1,1.382930966702984,0.8686131386861314,0.8248175182481752,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_0_3,token,0.2,1.1523916463544972,0.8905109489051095,0.8467153284671532,137,outputs/wm_eval/bytekgw_v6/ppl_0_3.csv,0.02,0
bytekgw_v6,ppl_12_20,char,0.01,2.7244860432649163,0.9270833333333334,0.8958333333333334,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,char,0.05,1.9376787740906782,0.9583333333333334,0.9375,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,char,0.1,1.382930966702984,0.9895833333333334,0.9791666666666666,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,char,0.2,1.1523916463544972,0.9895833333333334,0.9895833333333334,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,token,0.01,2.7244860432649163,0.9270833333333334,0.9166666666666666,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,token,0.05,1.9376787740906782,0.9583333333333334,0.9375,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,token,0.1,1.382930966702984,0.9895833333333334,0.96875,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_12_20,token,0.2,1.1523916463544972,0.9895833333333334,0.9791666666666666,96,outputs/wm_eval/bytekgw_v6/ppl_12_20.csv,0.02,0
bytekgw_v6,ppl_3_5,char,0.01,2.7244860432649163,0.801980198019802,0.7491749174917491,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,char,0.05,1.9376787740906782,0.8844884488448845,0.8514851485148515,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,char,0.1,1.382930966702984,0.9471947194719472,0.900990099009901,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,char,0.2,1.1523916463544972,0.9636963696369637,0.9240924092409241,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,token,0.01,2.7244860432649163,0.801980198019802,0.7557755775577558,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,token,0.05,1.9376787740906782,0.8844884488448845,0.8547854785478548,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,token,0.1,1.382930966702984,0.9471947194719472,0.9207920792079208,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_3_5,token,0.2,1.1523916463544972,0.9636963696369637,0.9372937293729373,303,outputs/wm_eval/bytekgw_v6/ppl_3_5.csv,0.02,0
bytekgw_v6,ppl_5_8,char,0.01,2.7244860432649163,0.9185185185185185,0.8851851851851852,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,char,0.05,1.9376787740906782,0.9518518518518518,0.9259259259259259,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,char,0.1,1.382930966702984,0.9740740740740741,0.9592592592592593,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,char,0.2,1.1523916463544972,0.9851851851851852,0.9740740740740741,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,token,0.01,2.7244860432649163,0.9185185185185185,0.8888888888888888,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,token,0.05,1.9376787740906782,0.9518518518518518,0.937037037037037,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,token,0.1,1.382930966702984,0.9740740740740741,0.9629629629629629,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_5_8,token,0.2,1.1523916463544972,0.9851851851851852,0.9703703703703703,270,outputs/wm_eval/bytekgw_v6/ppl_5_8.csv,0.02,0
bytekgw_v6,ppl_8_12,char,0.01,2.7244860432649163,0.9527027027027027,0.918918918918919,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,char,0.05,1.9376787740906782,0.9864864864864865,0.9662162162162162,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,char,0.1,1.382930966702984,0.9932432432432432,0.9932432432432432,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,char,0.2,1.1523916463544972,0.9932432432432432,0.9932432432432432,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,token,0.01,2.7244860432649163,0.9527027027027027,0.9256756756756757,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,token,0.05,1.9376787740906782,0.9864864864864865,0.9797297297297297,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,token,0.1,1.382930966702984,0.9932432432432432,0.9797297297297297,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_8_12,token,0.2,1.1523916463544972,0.9932432432432432,0.9864864864864865,148,outputs/wm_eval/bytekgw_v6/ppl_8_12.csv,0.02,0
bytekgw_v6,ppl_ge_20,char,0.01,2.7244860432649163,0.9565217391304348,0.9565217391304348,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,char,0.05,1.9376787740906782,0.9565217391304348,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,char,0.1,1.382930966702984,0.9782608695652174,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,char,0.2,1.1523916463544972,0.9782608695652174,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,token,0.01,2.7244860432649163,0.9565217391304348,0.9565217391304348,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,token,0.05,1.9376787740906782,0.9565217391304348,0.9565217391304348,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,token,0.1,1.382930966702984,0.9782608695652174,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,token,0.2,1.1523916463544972,0.9782608695652174,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
kgw,ppl_0_3,char,0.01,2.1878474382131707,0.624,0.408,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,char,0.05,1.5276379211183189,0.72,0.584,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,char,0.1,1.1532026875219443,0.816,0.736,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
