seed_window_chars	m_bits	target_anchors	n_bytes	k_choices	normalize_whitespace	total_traced	extra_tokens	extra_rate	aligned_tokens	uid_change_aligned	uid_change_rate_aligned	same_uid_tokens	prf_flip_same_uid	prf_flip_rate_same_uid	p_attack_green	p_clean_green_aligned
6	256	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	6	0.03614457831325301	0.55	0.5885714285714285
6	256	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	6	0.03614457831325301	0.55	0.5885714285714285
6	256	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	6	0.03614457831325301	0.55	0.5885714285714285
6	512	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	7	0.04216867469879518	0.495	0.5314285714285715
6	512	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	7	0.04216867469879518	0.495	0.5314285714285715
6	512	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	7	0.04216867469879518	0.495	0.5314285714285715
6	512	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	8	0.04790419161676647	0.515	0.49714285714285716
6	512	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	8	0.04790419161676647	0.515	0.49714285714285716
6	512	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	8	0.04790419161676647	0.515	0.49714285714285716
6	256	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	9	0.05389221556886228	0.57	0.5657142857142857
6	256	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	9	0.05389221556886228	0.57	0.5657142857142857
6	256	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	9	0.05389221556886228	0.57	0.5657142857142857
10	512	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	10	0.059880239520958084	0.49	0.5257142857142857
10	512	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	10	0.059880239520958084	0.49	0.5257142857142857
10	512	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	10	0.059880239520958084	0.49	0.5257142857142857
6	256	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.505	0.48
6	256	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.505	0.48
6	256	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.505	0.48
6	512	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.495	0.4514285714285714
6	512	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.495	0.4514285714285714
6	512	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.495	0.4514285714285714
8	256	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.525	0.5257142857142857
8	256	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.525	0.5257142857142857
8	256	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.525	0.5257142857142857
8	512	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.52	0.5428571428571428
8	512	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.52	0.5428571428571428
8	512	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	10	0.06134969325153374	0.52	0.5428571428571428
8	256	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	11	0.0658682634730539	0.585	0.5942857142857143
8	256	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	11	0.0658682634730539	0.585	0.5942857142857143
8	256	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	11	0.0658682634730539	0.585	0.5942857142857143
8	256	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	11	0.06626506024096386	0.535	0.5771428571428572
8	256	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	11	0.06626506024096386	0.535	0.5771428571428572
8	256	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	11	0.06626506024096386	0.535	0.5771428571428572
10	512	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	11	0.06626506024096386	0.525	0.56
10	512	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	11	0.06626506024096386	0.525	0.56
10	512	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	11	0.06626506024096386	0.525	0.56
10	512	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	11	0.06748466257668712	0.49	0.4857142857142857
10	512	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	11	0.06748466257668712	0.49	0.4857142857142857
10	512	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	11	0.06748466257668712	0.49	0.4857142857142857
12	256	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	12	0.0718562874251497	0.45	0.5257142857142857
12	256	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	12	0.0718562874251497	0.45	0.5257142857142857
12	256	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	12	0.0718562874251497	0.45	0.5257142857142857
8	512	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	12	0.07228915662650602	0.505	0.5485714285714286
8	512	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	12	0.07228915662650602	0.505	0.5485714285714286
8	512	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	12	0.07228915662650602	0.505	0.5485714285714286
12	512	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	12	0.0736196319018405	0.505	0.5314285714285715
